timeStep;prevStat;prevAct;prevArg;obtRewd;oldQVal;newQVal;randAct
1;MocafeStateMocafeState<6, 105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;1230.0;0.0;246.0;true
2;MocafeStateMocafeState<-394, 205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-120170.0;0.0;-24034.0;true
3;MocafeStateMocafeState<-594, 305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-240570.0;0.0;-48114.0;true
4;MocafeStateMocafeState<-794, 405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-400970.0;0.0;-80194.0;true
5;MocafeStateMocafeState<-994, 505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-601370.0;0.0;-120274.0;true
6;MocafeStateMocafeState<-1194, 605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-841770.0;0.0;-168354.0;true
7;MocafeStateMocafeState<-1394, 705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1122170.0;0.0;-224434.0;true
8;MocafeStateMocafeState<-1594, 805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1442570.0;0.0;-288514.0;true
9;MocafeStateMocafeState<-1794, 905.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-1623570.0;0.0;-324714.0;false
10;MocafeStateMocafeState<-1794, 905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1802970.0;0.0;-360594.0;true
11;MocafeStateMocafeState<-1994, 1005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-2203370.0;0.0;-440674.0;true
12;MocafeStateMocafeState<-2194, 1105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-2643770.0;0.0;-528754.0;true
13;MocafeStateMocafeState<-2394, 1205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-3124170.0;0.0;-624834.0;true
14;MocafeStateMocafeState<-2594, 1305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-3644570.0;0.0;-728914.0;true
15;MocafeStateMocafeState<-2794, 1405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-4204970.0;0.0;-840994.0;true
16;MocafeStateMocafeState<-2994, 1505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-4805370.0;0.0;-961074.0;true
17;MocafeStateMocafeState<-3194, 1605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-5445770.0;0.0;-1089154.0;true
18;MocafeStateMocafeState<-3394, 1705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-6126170.0;0.0;-1225234.0;true
19;MocafeStateMocafeState<-3594, 1805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-6846570.0;0.0;-1369314.0;true
20;MocafeStateMocafeState<-3794, 1905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-7606970.0;0.0;-1521394.0;true
21;MocafeStateMocafeState<-3994, 2005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-8407370.0;0.0;-1681474.0;true
22;MocafeStateMocafeState<-4194, 2105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-9247770.0;0.0;-1849554.0;true
23;MocafeStateMocafeState<-4394, 2205.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-9249370.0;0.0;-1849874.0;false
24;MocafeStateMocafeState<-4194, 2105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-9247770.0;0.0;-1849554.0;true
25;MocafeStateMocafeState<-4394, 2205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-10128170.0;0.0;-2025634.0;true
26;MocafeStateMocafeState<-4594, 2305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-11048570.0;0.0;-2209714.0;true
27;MocafeStateMocafeState<-4794, 2405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-12008970.0;0.0;-2401794.0;true
28;MocafeStateMocafeState<-4994, 2505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-13009370.0;0.0;-2601874.0;true
29;MocafeStateMocafeState<-5194, 2605.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-13010970.0;0.0;-2602194.0;false
30;MocafeStateMocafeState<-4994, 2505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-13009370.0;0.0;-2601874.0;true
31;MocafeStateMocafeState<-5194, 2605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-14049770.0;0.0;-2809954.0;true
32;MocafeStateMocafeState<-5394, 2705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-15130170.0;0.0;-3026034.0;true
33;MocafeStateMocafeState<-5594, 2805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-16250570.0;0.0;-3250114.0;true
34;MocafeStateMocafeState<-5794, 2905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-17410970.0;0.0;-3482194.0;true
35;MocafeStateMocafeState<-5994, 3005.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-18011970.0;0.0;-3602394.0;false
36;MocafeStateMocafeState<-5994, 3005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-18611370.0;0.0;-3722274.0;true
37;MocafeStateMocafeState<-6194, 3105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-19851770.0;0.0;-3970354.0;true
38;MocafeStateMocafeState<-6394, 3205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-21132170.0;0.0;-4226434.0;true
39;MocafeStateMocafeState<-6594, 3305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-22452570.0;0.0;-4490514.0;true
40;MocafeStateMocafeState<-6794, 3405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-23812970.0;0.0;-4762594.0;true
41;MocafeStateMocafeState<-6994, 3505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-25213370.0;0.0;-5042674.0;true
42;MocafeStateMocafeState<-7194, 3605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-26653770.0;0.0;-5330754.0;true
43;MocafeStateMocafeState<-7394, 3705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-28134170.0;0.0;-5626834.0;true
44;MocafeStateMocafeState<-7594, 3805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-29654570.0;0.0;-5930914.0;true
45;MocafeStateMocafeState<-7794, 3905.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-30435570.0;0.0;-6087114.0;false
46;MocafeStateMocafeState<-7794, 3905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-31214970.0;0.0;-6242994.0;true
47;MocafeStateMocafeState<-7994, 4005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-32815370.0;0.0;-6563074.0;true
48;MocafeStateMocafeState<-8194, 4105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-34455770.0;0.0;-6891154.0;true
49;MocafeStateMocafeState<-8394, 4205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-36136170.0;0.0;-7227234.0;true
50;MocafeStateMocafeState<-8594, 4305.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-36137770.0;0.0;-7227554.0;false
51;MocafeStateMocafeState<-8394, 4205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-36136170.0;0.0;-7227234.0;true
52;MocafeStateMocafeState<-8594, 4305.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-36997170.0;0.0;-7399434.0;false
53;MocafeStateMocafeState<-8594, 4305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-37856570.0;0.0;-7571314.0;true
54;MocafeStateMocafeState<-8794, 4405.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-37858170.0;0.0;-7571634.0;false
55;MocafeStateMocafeState<-8594, 4305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-37856570.0;0.0;-7571314.0;true
56;MocafeStateMocafeState<-8794, 4405.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-38737570.0;0.0;-7747514.0;false
57;MocafeStateMocafeState<-8794, 4405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-39616970.0;0.0;-7923394.0;true
58;MocafeStateMocafeState<-8994, 4505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-41417370.0;0.0;-8283474.0;true
59;MocafeStateMocafeState<-9194, 4605.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-41418970.0;0.0;-8283794.0;false
60;MocafeStateMocafeState<-8994, 4505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-41417370.0;0.0;-8283474.0;true
61;MocafeStateMocafeState<-9194, 4605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-43257770.0;0.0;-8651554.0;true
62;MocafeStateMocafeState<-9394, 4705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-45138170.0;0.0;-9027634.0;true
63;MocafeStateMocafeState<-9594, 4805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-47058570.0;0.0;-9411714.0;true
64;MocafeStateMocafeState<-9794, 4905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-49018970.0;0.0;-9803794.0;true
65;MocafeStateMocafeState<-9994, 5005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-51019370.0;0.0;-10203874.0;true
66;MocafeStateMocafeState<-10194, 5105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-53059770.0;0.0;-10611954.0;true
67;MocafeStateMocafeState<-10394, 5205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-55140170.0;0.0;-11028034.0;true
68;MocafeStateMocafeState<-10594, 5305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-57260570.0;0.0;-11452114.0;true
